Beer,Brewery,Location,% Alc (ABV)
Schorsch Bock 43,Schorschbrau,Germany,43
Tactical Nuclear Penguin,BrewDog,Scotland,32
Samuel Adams Utopias,Boston Beer Co.,Boston MA,29
Sam Adams Triple Bock,Boston Beer Co.,Boston MA,17.5
Rumpkin,Avery Brewing Co.,Boulder CO,16.5
Mephistopheles’,Avery Brewing Co.,Boulder CO,16
Samael’s,Avery Brewing Co.,Boulder CO,16
The Beast,Avery Brewing Co.,Boulder CO,16
Dogfish Head,Dogfish Brewery,Milton DE,15
Legend Belgian Quad,Legend Brewing Co.,Richmond VA,15
Bourbon County Brand Stout,Goose Island Beer Co.,Chicago IL,14.5
Samichlaus Beer (Santa Claus Beer),Brauerei Schloss Eggenberg,Austria,14
Old Stock Ale,North Coast Brewing Co.,Fort Bragg CA,11.9
Thomas Hardy's Ale,O'Hanlon Brewing Co. Ltd.,England,11.9
Bourbon Wizard,Short's Brewing Company,Elk Rapids MI,11.8
Old Baba Yaga,Bear Republic Brewing Co.,Healdsburg CA,11.5
The Czar,Avery Brewing Co.,Boulder CO,11
The Maharaja,Avery Brewing Co.,Boulder CO,11
Imperial Stout,Marble Brewary,Albuquerque NM,11
Orange Blossom Pilsner,Thomas Creek Brewery,Greenville SC,11
Alaskan Barley Wine Ale,Alaskan Brewing,Juneau AK,10.7
Berlot,Great Lakes Brewing Co.,Cleveland OH,10.6
Alaskan Troppelbock,Alaskan Brewing,Juneau AK,10.5
Clobberskull,Avery Brewing Co.,Healdsburg CA,10.5
Gulden Draak,Brouwerij Van Steenberge,Ertvelde Belgium,10.5
Bridezilla,Seven Brides Brewing,Silverton OR,10.5
Squatters Outer Darkness,Utah Brewers Cooperative,Utah,10.5
Sierra Nevada Hoptimum,Sierra Nevada Brewing Co.,Chico CA,10.4
Samuel Adams Imperial White,Boston Beer Co.,Boston MA,10.3
Samuel Adams Imperial White,Boston Beer Co.,Boston MA,10.3
Third Coast Old Ale,Bell's Brewery,Kalamazoo MI,10.2
Carrack Red Ale,Mission Brewing Company,San Diego CA,10.2
Tripel Nova,Ale Asylum,Madison WI,10
